0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/css/menu.css HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/css/bootstrap-responsive.css HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/js/jquery.validate.js HTTP/1.1" 200 39105
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/css/jquery-ui-1.9.2.custom.css HTTP/1.1" 200 32315
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/js/form.requerido.js HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/js/botao.js HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:18 -0300] "GET /scada/js/jquery.tablesorter.min.js HTTP/1.1" 200 16520
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:19 -0300] "GET /scada/js/menu.js HTTP/1.1" 200 15902
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:20 -0300] "GET /scada/css/images/item-pointer.gif HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:20 -0300] "GET /scada/css/images/main-bg.png HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:20 -0300] "GET /scada/css/images/main-delimiter.png HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:20 -0300] "GET /scada/css/images/ui-bg_inset-soft_25_000000_1x100.png HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:20 -0300] "GET /scada/css/images/lava.png HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:24 -0300] "POST /scada/cotacao/salvarCotacao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2014:20:15:27 -0300] "GET /scada/listaCotacao/criarListaCotacao HTTP/1.1" 200 21130
0:0:0:0:0:0:0:1 - - [12/May/2014:20:16:24 -0300] "GET /scada/listaCotacao/listarListaCotacaos HTTP/1.1" 200 10199
